,Probability Buy,Probability Hold,Probability Sell,Prediction,Dates
0,0.5115412473678589,0.2416570782661438,0.24680165946483612,0,2024-02-29 16:00:00+00:00
1,0.5014299750328064,0.2300875335931778,0.26848238706588745,0,2024-02-29 17:00:00+00:00
2,0.5210953950881958,0.24285030364990234,0.23605433106422424,0,2024-02-29 18:00:00+00:00
3,0.3481626808643341,0.392279714345932,0.2595575451850891,1,2024-02-29 19:00:00+00:00
4,0.29512128233909607,0.4347819685935974,0.27009671926498413,1,2024-02-29 20:00:00+00:00
5,0.2634751796722412,0.4693281352519989,0.2671966254711151,1,2024-02-29 21:00:00+00:00
6,0.27365219593048096,0.4582361876964569,0.2681116759777069,1,2024-02-29 22:00:00+00:00
7,0.29212698340415955,0.3837359547615051,0.3241370916366577,1,2024-02-29 23:00:00+00:00
8,0.33090755343437195,0.2989520728588104,0.37014031410217285,2,2024-03-01 00:00:00+00:00
9,0.2925819456577301,0.3727075755596161,0.3347104489803314,1,2024-03-01 01:00:00+00:00
10,0.28473854064941406,0.4591435492038727,0.25611791014671326,1,2024-03-01 02:00:00+00:00
11,0.3120534420013428,0.43469396233558655,0.2532525956630707,1,2024-03-01 03:00:00+00:00
12,0.2809067666530609,0.4492819607257843,0.26981139183044434,1,2024-03-01 04:00:00+00:00
13,0.2852246165275574,0.43123194575309753,0.2835434079170227,1,2024-03-01 05:00:00+00:00
14,0.29689791798591614,0.46195414662361145,0.2411479502916336,1,2024-03-01 06:00:00+00:00
15,0.3053348660469055,0.4502461850643158,0.2444189190864563,1,2024-03-01 07:00:00+00:00
16,0.3197101056575775,0.4419723153114319,0.2383175641298294,1,2024-03-01 08:00:00+00:00
17,0.2876322269439697,0.46685782074928284,0.24550990760326385,1,2024-03-01 09:00:00+00:00
18,0.36944884061813354,0.3944850564002991,0.2360660880804062,1,2024-03-01 10:00:00+00:00
19,0.35351911187171936,0.41431573033332825,0.23216508328914642,1,2024-03-01 11:00:00+00:00
20,0.3089126646518707,0.45707204937934875,0.2340153157711029,1,2024-03-01 12:00:00+00:00
21,0.35473862290382385,0.41975516080856323,0.22550614178180695,1,2024-03-01 13:00:00+00:00
22,0.3719117045402527,0.40183091163635254,0.22625732421875,1,2024-03-01 14:00:00+00:00
23,0.4720989763736725,0.2747868597507477,0.25311410427093506,0,2024-03-01 15:00:00+00:00
24,0.3862425982952118,0.36320191621780396,0.2505554258823395,0,2024-03-01 16:00:00+00:00
25,0.29689088463783264,0.46581053733825684,0.23729851841926575,1,2024-03-01 17:00:00+00:00
26,0.28205594420433044,0.46162599325180054,0.256318062543869,1,2024-03-01 18:00:00+00:00
27,0.3392865061759949,0.4449703097343445,0.21574318408966064,1,2024-03-01 19:00:00+00:00
28,0.3642232120037079,0.4146732985973358,0.22110344469547272,1,2024-03-01 20:00:00+00:00
29,0.41594815254211426,0.35882726311683655,0.2252245545387268,0,2024-03-01 21:00:00+00:00
30,0.43394750356674194,0.3382784128189087,0.22777411341667175,0,2024-03-01 22:00:00+00:00
31,0.3701293170452118,0.42147311568260193,0.2083975225687027,1,2024-03-01 23:00:00+00:00
32,0.2393304407596588,0.5576223134994507,0.2030472308397293,1,2024-03-02 00:00:00+00:00
33,0.3343257009983063,0.4239255487918854,0.24174876511096954,1,2024-03-02 01:00:00+00:00
34,0.357767254114151,0.3390903174877167,0.3031424582004547,0,2024-03-02 02:00:00+00:00
