,Probability Hold,Probability Buy,Probability Sell,Prediction
0,0.40793779492378235,0.257231742143631,0.3348304033279419,0
1,0.4207116365432739,0.24613021314144135,0.3331581652164459,0
2,0.40185707807540894,0.24706967175006866,0.3510732054710388,0
3,0.39187493920326233,0.2582716941833496,0.3498533368110657,0
4,0.40722736716270447,0.24885107576847076,0.3439214825630188,0
5,0.38826844096183777,0.27059751749038696,0.34113410115242004,0
6,0.38771989941596985,0.27249690890312195,0.3397832214832306,0
7,0.4195360839366913,0.24672457575798035,0.33373937010765076,0
8,0.4078717827796936,0.24954840540885925,0.34257984161376953,0
9,0.3893812298774719,0.265941321849823,0.34467747807502747,0
10,0.3868141174316406,0.2748018801212311,0.3383840322494507,0
11,0.3853651285171509,0.2839046120643616,0.3307303488254547,0
12,0.3731294572353363,0.3147814869880676,0.31208905577659607,0
13,0.37286376953125,0.3186986744403839,0.3084374964237213,0
14,0.36508598923683167,0.3356955349445343,0.2992185652256012,0
15,0.366828590631485,0.3193332850933075,0.3138381540775299,0
16,0.37090006470680237,0.322867751121521,0.306232213973999,0
17,0.38448798656463623,0.3203967809677124,0.2951151132583618,0
18,0.38041993975639343,0.31565168499946594,0.3039284646511078,0
19,0.36760157346725464,0.32509365677833557,0.307304710149765,0
20,0.3571624755859375,0.3461611270904541,0.2966763973236084,0
21,0.36576688289642334,0.3187698423862457,0.31546324491500854,0
22,0.3729046881198883,0.3081856071949005,0.3189096748828888,0
23,0.33491042256355286,0.3871086835861206,0.27798083424568176,1
24,0.35128408670425415,0.3538043200969696,0.29491156339645386,1
25,0.3463709056377411,0.36577579379081726,0.2878533601760864,1
26,0.356906533241272,0.3453005850315094,0.297792911529541,0
27,0.3603650629520416,0.33867499232292175,0.3009599447250366,0
28,0.3707979619503021,0.34261471033096313,0.28658729791641235,0
29,0.40747928619384766,0.297703355550766,0.2948174476623535,0
30,0.38088324666023254,0.31377968192100525,0.30533698201179504,0
31,0.3221053183078766,0.4143522381782532,0.26354241371154785,1
32,0.32943204045295715,0.4010952413082123,0.26947277784347534,1
33,0.3610159754753113,0.35478198528289795,0.28420206904411316,0
34,0.3887224793434143,0.30359768867492676,0.30767980217933655,0
35,0.35733768343925476,0.34692156314849854,0.2957407236099243,0
36,0.3581181764602661,0.3447028696537018,0.29717886447906494,0
37,0.37068668007850647,0.31738004088401794,0.31193333864212036,0
38,0.3823721408843994,0.2851911187171936,0.3324367105960846,0
39,0.3813875615596771,0.2754521369934082,0.3431602716445923,0
40,0.38692012429237366,0.2572653889656067,0.35581454634666443,0
41,0.4151286780834198,0.25342339277267456,0.3314479887485504,0
