time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-02-26T00:00:00.0000000Z,2019-02-25T00:00:00.3410000Z,2019-02-25T23:59:59.9620000Z,0.29757,0.33975,0.29672,0.32731,397586107.6,315830
2019-02-27T00:00:00.0000000Z,2019-02-26T00:00:01.4090000Z,2019-02-26T23:59:59.3700000Z,0.3274,0.33502,0.31334,0.31658,156768298.39999998,139027
2019-02-28T00:00:00.0000000Z,2019-02-27T00:00:01.3310000Z,2019-02-27T23:59:56.6070000Z,0.31663,0.31874,0.30076,0.31067,86042683.7,81307
2019-03-01T00:00:00.0000000Z,2019-02-28T00:00:00.3860000Z,2019-02-28T23:59:57.1190000Z,0.31054,0.31771,0.30602,0.3139,82235972.69999999,79418
2019-03-02T00:00:00.0000000Z,2019-03-01T00:00:00.6410000Z,2019-03-01T23:59:59.4250000Z,0.31386,0.32354,0.31146,0.31564,82926757.7,75704
2019-03-03T00:00:00.0000000Z,2019-03-02T00:00:01.4830000Z,2019-03-02T23:59:56.0320000Z,0.31565,0.31819,0.30993,0.31382,49884108.0,56696
2019-03-04T00:00:00.0000000Z,2019-03-03T00:00:00.2070000Z,2019-03-03T23:59:59.4370000Z,0.31389,0.31542,0.308,0.31114,35107981.0,39242
2019-03-05T00:00:00.0000000Z,2019-03-04T00:00:05.8460000Z,2019-03-04T23:59:57.7790000Z,0.31115,0.31222,0.29728,0.30207,54554165.300000004,57629
2019-03-06T00:00:00.0000000Z,2019-03-05T00:00:01.6200000Z,2019-03-05T23:59:58.5150000Z,0.30197,0.31787,0.3008,0.31471,65812161.60000001,65306
2019-03-07T00:00:00.0000000Z,2019-03-06T00:00:00.4870000Z,2019-03-06T23:59:58.7120000Z,0.31473,0.32186,0.3095,0.31629,69108469.9,68602
2019-03-08T00:00:00.0000000Z,2019-03-07T00:00:01.1400000Z,2019-03-07T23:59:59.9750000Z,0.31628,0.31936,0.3124,0.31311,51060315.90000001,59083
2019-03-09T00:00:00.0000000Z,2019-03-08T00:00:01.1710000Z,2019-03-08T23:59:59.9040000Z,0.31324,0.316,0.305,0.30775,52311972.999999985,57754
2019-03-10T00:00:00.0000000Z,2019-03-09T00:00:00.8050000Z,2019-03-09T23:59:59.6060000Z,0.3078,0.319,0.3068,0.31389,60052161.999999985,64710
2019-03-11T00:00:00.0000000Z,2019-03-10T00:00:01.2740000Z,2019-03-10T23:59:55.7470000Z,0.31395,0.31705,0.30905,0.31289,43024192.80000001,49031
